Money,Earnings,Rise or fall between days,Rise or fall between weeks
1455.73928,455.73928,-6.776121,-46.121032
1448.963159,448.963159,-6.713451,85.694726
1442.249708,442.249708,-6.651648,237.690751
1435.59806,435.59806,-6.590692,236.837233
1429.007368,429.007368,-6.530573,235.989397
1422.476795,422.476795,-6.471271,235.147197
1416.005524,416.005524,-6.387276,234.310582
1409.618248,409.618248,125.039637,233.481109
1534.657885,534.657885,145.282574,101.287682
1679.940459,679.940459,-7.505166,-51.086542
1672.435293,672.435293,-7.438528,-50.611693
1664.996765,664.996765,-7.372773,-50.142941
1657.623992,657.623992,-7.307886,-49.680181
1650.316106,650.316106,-7.216749,-49.223312
1643.099357,643.099357,-7.15379,-48.799335
1635.945567,635.945567,-7.09165,-48.380812
1628.853917,628.853917,-7.030317,-47.967651
1621.8236,621.8236,-6.969776,-47.585726
1614.853824,614.853824,-6.910013,-47.208766
1607.943811,607.943811,-6.851017,-46.836685
1601.092794,601.092794,-6.792772,-46.4694
1594.300022,594.300022,-6.735267,-46.10683
1587.564755,587.564755,-6.678489,-45.723465
1580.886266,580.886266,-6.648392,-45.344866
1574.237874,574.237874,-6.592816,-44.970213
1567.645058,567.645058,-6.537932,-44.600182
1561.107126,561.107126,-6.483732,-44.234699
1554.623394,554.623394,-6.430202,-43.873688
1548.193192,548.193192,-6.351902,-43.517078
1541.84129,541.84129,-6.29989,-43.190228
1535.5414,535.5414,-6.273739,-42.842808
1529.267661,529.267661,-6.222785,-42.474343
1523.044876,523.044876,-6.172449,-42.134624
1516.872427,516.872427,-6.122721,-41.798963
1510.749706,510.749706,-6.073592,-41.467296
1504.676114,504.676114,-6.025052,-41.13956
1498.651062,498.651062,-5.95247,-40.815692
1492.698592,492.698592,-5.905274,-40.520254
1486.793318,486.793318,-5.883066,-40.204508
1480.910252,480.910252,-5.836788,-12.01174
1475.073464,475.073464,-5.791054,308.427297
1469.28241,469.28241,-5.745856,307.404439
1463.536554,463.536554,-5.701184,306.388151
1457.83537,457.83537,-5.657032,305.378371
1452.178338,452.178338,-5.589528,304.37504
1446.58881,446.58881,22.309702,303.380133
1468.898512,468.898512,314.602249,274.535271
1783.500761,783.500761,-6.813912,-46.553413
1776.686849,776.686849,-6.762144,-46.177754
1769.924705,769.924705,-6.710964,-45.806217
1763.213741,763.213741,-6.660363,-45.438739
1756.553378,756.553378,-6.584435,-45.075263
1749.968943,749.968943,-6.53516,-44.76686
1743.433783,743.433783,-6.486435,-44.461963
1736.947348,736.947348,-6.438253,-44.160522
1730.509095,730.509095,-6.390607,-43.862484
1724.118488,724.118488,-6.343486,-43.567799
1717.775002,717.775002,-6.296887,-43.276418
1711.478115,711.478115,-6.276032,-42.988291
1705.202083,705.202083,-6.230263,32.72215
1698.97182,698.97182,-6.184994,333.461708
1692.786826,692.786826,-6.140215,332.432345
1686.646611,686.646611,-6.095922,331.409143
1680.550689,680.550689,-6.052105,330.392051
1674.498584,674.498584,-6.00876,329.381014
1668.489824,668.489824,69.434409,328.402661
1737.924233,737.924233,294.509295,264.351155
2032.433528,1032.433528,-7.214357,13.745858
2025.219171,1025.219171,-7.163417,13.872719
2018.055754,1018.055754,-7.113014,13.997477
2010.94274,1010.94274,-7.063142,14.120166
2003.879598,1003.879598,-6.987113,14.240821
1996.892485,996.892485,5.382903,14.35925
2002.275388,1002.275388,43.903998,2.15435
2046.179386,1046.179386,-7.087496,-48.525434
2039.09189,1039.09189,-7.038659,-48.167981
2032.053231,1032.053231,-6.990325,-47.814082
2025.062906,1025.062906,-6.942487,-47.46369
2018.120419,1018.120419,-6.868684,-47.142684
2011.251735,1011.251735,-6.821997,-46.851375
2004.429738,1004.429738,-6.775786,-46.563085
1997.653952,997.653952,-6.730043,-46.277772
1990.923909,990.923909,-6.68476,-41.576018
1984.239149,984.239149,-6.639933,-36.91536
1977.599216,977.599216,-6.621481,-32.295358
1970.977735,970.977735,-6.577375,-27.664086
1964.40036,964.40036,-6.533707,-23.072826
1957.866653,957.866653,-6.490473,-18.521153
1951.37618,951.37618,-2.028289,-14.034127
1949.347891,949.347891,-2.024102,-14.005176
1947.323789,947.323789,-2.019931,-13.976316
1945.303858,945.303858,-1.990209,-13.947543
1943.313649,943.313649,-1.986115,-13.944421
1941.327534,941.327534,-1.982034,-13.941335
1939.3455,939.3455,-2.003447,-13.912957
1937.342053,937.342053,-1.999338,-13.859184
1935.342715,935.342715,-1.995242,-13.80555
1933.347473,933.347473,-1.991158,-13.777303
1931.356315,931.356315,-1.987087,-13.749143
1929.369228,929.369228,-1.983029,-13.721069
1927.386199,927.386199,-1.953656,-13.69308
1925.432543,925.432543,-1.949674,-13.690503
1923.482869,923.482869,-1.945704,-13.687959
1921.537165,921.537165,-1.966995,-13.685449
1919.57017,919.57017,-1.962998,76.810396
1917.607172,917.607172,-1.959013,76.746473
1915.648159,915.648159,-1.95504,76.682651
1913.693119,913.693119,-1.951079,76.61893
1911.74204,911.74204,-1.94713,76.555309
1909.79491,909.79491,-1.943194,76.491787
1907.851716,907.851716,88.52885,76.428366
1996.380566,996.380566,-2.026921,-14.077597
1994.353645,994.353645,-2.022835,-14.049279
1992.33081,992.33081,-2.018761,7.353406
1990.312049,990.312049,-2.0147,7.360114
1988.297349,988.297349,-2.010652,7.36678
1986.286697,986.286697,-2.006615,7.373405
1984.280082,984.280082,-1.977113,7.379989
1982.302969,982.302969,-1.998603,7.361054
1980.304366,980.304366,19.37985,7.367581
1999.684216,999.684216,-2.012053,53.291888
1997.672163,997.672163,-2.008034,53.252748
1995.664129,995.664129,-2.004027,53.213657
1993.660102,993.660102,-2.000031,53.174617
1991.660071,991.660071,-1.996048,53.135626
1989.664023,989.664023,-1.992076,53.096685
1987.671947,987.671947,65.304157,53.08345
2052.976104,1052.976104,-2.051193,87.367566
2050.924911,1050.924911,-2.047125,87.295264
2048.877786,1048.877786,-2.043067,87.223077
2046.834719,1046.834719,-2.039022,87.151004
2044.795697,1044.795697,-2.034989,87.079044
2042.760708,1042.760708,-2.005311,87.007197
2040.755397,1040.755397,99.588273,86.935916
2140.34367,1140.34367,-2.123495,-14.724878
2138.220175,1138.220175,-2.119312,-14.669846
2136.100863,1136.100863,-2.11514,-14.640981
2133.985723,1133.985723,-2.110982,-14.612202
2131.874741,1131.874741,-2.106836,-14.583508
2129.767905,1129.767905,-2.076592,-14.554896
2127.691313,1127.691313,-2.072521,-14.552479
2125.618792,1125.618792,-2.068463,-14.524189
2123.550329,1123.550329,-2.090447,129.857651
2121.459882,1121.459882,-2.086361,253.482365
2119.373521,1119.373521,-2.082288,253.249693
2117.291233,1117.291233,-2.078224,253.017446
2115.213009,1115.213009,-2.074175,252.785619
2113.138834,1113.138834,-2.044231,252.554216
2111.094603,1111.094603,142.313377,252.297326
2253.40798,1253.40798,121.534267,107.714565
2374.942247,1374.942247,-2.319033,-16.11197
2372.623214,1372.623214,-2.314535,100.445431
2370.308679,1370.308679,-2.310051,100.363955
2367.998628,1367.998628,-2.305578,100.282606
2365.69305,1365.69305,-2.301121,100.201382
2363.391929,1363.391929,-2.269384,100.120285
2361.122545,1361.122545,-2.292268,100.039792
2358.830277,1358.830277,114.238368,99.986688
2473.068645,1473.068645,-2.396011,-16.59256
2470.672634,1470.672634,-2.3914,-16.532949
2468.281234,1468.281234,-2.386802,-16.501146
2465.894432,1465.894432,-2.382218,-16.469434
2463.512214,1463.512214,-2.349877,-16.437812
2461.162337,1461.162337,-2.345372,-16.434051
2458.816965,1458.816965,-2.34088,-16.430327
2456.476085,1456.476085,-2.3364,-16.42664
2454.139685,1454.139685,-2.359597,-16.395485
2451.780088,1451.780088,-2.35509,31.943729
2449.424998,1449.424998,-2.350596,184.845888
2447.074402,1447.074402,-2.346116,184.685749
2444.728286,1444.728286,-2.341648,184.525885
2442.386638,1442.386638,-2.337193,184.366293
2440.049445,1440.049445,-2.305245,184.206974
2437.7442,1437.7442,45.979617,184.04885
2483.723817,1483.723817,150.547069,231.693172
2634.270886,1634.270886,-2.510735,393.15677
2631.760151,1631.760151,-2.50598,392.802111
2629.254171,1629.254171,-2.50124,392.448086
2626.752931,1626.752931,-2.496512,392.094697
2624.256419,1624.256419,-2.463369,391.741939
2621.79305,1621.79305,93.623939,391.391761
